COO	17000	17000	0.005	11.11179
CSR	17000	17000	0.01	11.26795
COO	17000	17000	0.01	11.31386
CSR	17000	17000	0.02	11.89644
COO	17000	17000	0.02	11.86298
CSR	19000	19000	0.005	13.97076
COO	19000	19000	0.005	14.19852
CSR	19000	19000	0.01	14.35510
COO	19000	19000	0.01	14.25561
CSR	19000	19000	0.02	14.99942
COO	19000	19000	0.02	14.90781
CSR	19000	19000	0.005	14.04756
COO	19000	19000	0.005	14.08027
CSR	19000	19000	0.01	14.23808
COO	19000	19000	0.01	14.27802
CSR	19000	19000	0.02	15.01548
COO	19000	19000	0.02	15.24201
CSR	19000	19000	0.005	13.95978
COO	19000	19000	0.005	14.05334
CSR	19000	19000	0.01	14.62604
COO	19000	19000	0.01	14.63230
CSR	19000	19000	0.02	15.02838
COO	19000	19000	0.02	15.11487
CSR	19000	19000	0.005	13.94428
COO	19000	19000	0.005	14.28557
CSR	19000	19000	0.01	14.19786
COO	19000	19000	0.01	14.38534
CSR	19000	19000	0.02	14.78678
COO	19000	19000	0.02	14.86680
CSR	19000	19000	0.005	13.96621
COO	19000	19000	0.005	14.17525
CSR	19000	19000	0.01	14.23502
COO	19000	19000	0.01	14.29675
CSR	19000	19000	0.02	15.35106
COO	19000	19000	0.02	15.37537
CSR	19000	19000	0.005	14.19699
COO	19000	19000	0.005	14.11454
CSR	19000	19000	0.01	14.23421
COO	19000	19000	0.01	14.23144
CSR	19000	19000	0.02	15.56168
COO	19000	19000	0.02	15.39631
CSR	19000	19000	0.005	13.94623
COO	19000	19000	0.005	13.98510
CSR	19000	19000	0.01	14.20832
COO	19000	19000	0.01	14.42402
CSR	19000	19000	0.02	14.78395
COO	19000	19000	0.02	14.95755
CSR	19000	19000	0.005	14.29049
COO	19000	19000	0.005	14.13676
CSR	19000	19000	0.01	14.21996
COO	19000	19000	0.01	14.39758
CSR	19000	19000	0.02	14.97340
COO	19000	19000	0.02	15.18367
CSR	19000	19000	0.005	14.27451
COO	19000	19000	0.005	14.14613
CSR	19000	19000	0.01	14.46948
COO	19000	19000	0.01	14.52823
CSR	19000	19000	0.02	15.23316
COO	19000	19000	0.02	15.63837
CSR	19000	19000	0.005	13.92030
COO	19000	19000	0.005	13.94871
CSR	19000	19000	0.01	14.31231
COO	19000	19000	0.01	14.27780
CSR	19000	19000	0.02	15.45561
COO	19000	19000	0.02	15.42859
CSR	21000	21000	0.005	17.00768
COO	21000	21000	0.005	17.66721
CSR	21000	21000	0.01	17.72420
COO	21000	21000	0.01	18.00788
CSR	21000	21000	0.02	18.51613
COO	21000	21000	0.02	18.50136
CSR	21000	21000	0.005	17.00128
COO	21000	21000	0.005	17.31052
CSR	21000	21000	0.01	17.35038
COO	21000	21000	0.01	17.94872
CSR	21000	21000	0.02	18.26540
COO	21000	21000	0.02	18.54611
CSR	21000	21000	0.005	17.15134
COO	21000	21000	0.005	17.02983
CSR	21000	21000	0.01	17.57614
COO	21000	21000	0.01	17.40371
CSR	21000	21000	0.02	18.02708
COO	21000	21000	0.02	18.15860
CSR	21000	21000	0.005	17.29807
COO	21000	21000	0.005	17.35133
CSR	21000	21000	0.01	17.36231
COO	21000	21000	0.01	17.36864
CSR	21000	21000	0.02	18.03952
COO	21000	21000	0.02	18.16015
CSR	21000	21000	0.005	17.02197
COO	21000	21000	0.005	17.05061
CSR	21000	21000	0.01	17.47645
COO	21000	21000	0.01	17.43366
CSR	21000	21000	0.02	18.02507
COO	21000	21000	0.02	18.33131
CSR	21000	21000	0.005	17.24589
COO	21000	21000	0.005	17.48613
CSR	21000	21000	0.01	17.42661
COO	21000	21000	0.01	17.49345
CSR	21000	21000	0.02	18.14825
COO	21000	21000	0.02	18.16623
CSR	21000	21000	0.005	17.03434
COO	21000	21000	0.005	17.34725
CSR	21000	21000	0.01	17.59863
COO	21000	21000	0.01	17.78585
CSR	21000	21000	0.02	18.50341
COO	21000	21000	0.02	18.17599
CSR	21000	21000	0.005	17.01963
COO	21000	21000	0.005	17.04615
CSR	21000	21000	0.01	17.35990
COO	21000	21000	0.01	17.54439
CSR	21000	21000	0.02	18.05297
COO	21000	21000	0.02	18.14773
